"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","group-2-vm2",,,,"User:","ubuntu"
"Cmdline:","dstat -ta --noheaders --noupdate --output /home/ubuntu/dstat.csv",,,,"Date:","18 Sep 2015 22:30:35 UTC"

"system","total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",
"time","usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw"
18-09 22:30:35,3.305,0.387,95.589,0.689,0.0,0.030,1226786.232,1349264.580,0.0,0.0,0.0,0.0,328.085,435.037
18-09 22:30:36,1.210,0.202,98.589,0.0,0.0,0.0,0.0,0.0,105.0,307.0,0.0,0.0,949.0,2149.0
18-09 22:30:37,1.408,0.604,97.586,0.402,0.0,0.0,0.0,61440.0,211.0,831.0,0.0,0.0,1043.0,2301.0
18-09 22:30:38,6.439,3.219,88.934,1.207,0.0,0.201,114688.0,393216.0,5200.0,4184.0,0.0,0.0,1685.0,3353.0
18-09 22:30:39,1.210,5.242,88.508,5.040,0.0,0.0,1077248.0,61440.0,539.0,753.0,0.0,0.0,1509.0,2723.0
18-09 22:30:40,1.800,0.200,98.0,0.0,0.0,0.0,0.0,0.0,211.0,831.0,0.0,0.0,1015.0,2235.0
18-09 22:30:41,1.408,0.201,98.390,0.0,0.0,0.0,0.0,0.0,105.0,307.0,0.0,0.0,1025.0,2297.0
18-09 22:30:42,1.606,0.402,97.992,0.0,0.0,0.0,0.0,0.0,105.0,307.0,0.0,0.0,1041.0,2294.0
18-09 22:30:43,1.996,0.599,97.405,0.0,0.0,0.0,0.0,0.0,211.0,831.0,0.0,0.0,1054.0,2353.0
18-09 22:30:44,1.207,0.402,97.988,0.402,0.0,0.0,0.0,28672.0,105.0,307.0,0.0,0.0,994.0,2231.0
18-09 22:30:45,2.419,0.403,97.177,0.0,0.0,0.0,0.0,0.0,105.0,307.0,0.0,0.0,1045.0,2298.0
18-09 22:30:46,1.610,0.402,97.988,0.0,0.0,0.0,0.0,0.0,211.0,831.0,0.0,0.0,1026.0,2258.0
18-09 22:30:47,1.403,0.601,97.996,0.0,0.0,0.0,0.0,0.0,105.0,307.0,0.0,0.0,1053.0,2274.0
18-09 22:30:48,2.196,0.399,97.405,0.0,0.0,0.0,0.0,0.0,105.0,307.0,0.0,0.0,1068.0,2292.0
18-09 22:30:49,2.0,0.400,97.600,0.0,0.0,0.0,0.0,0.0,211.0,831.0,0.0,0.0,1050.0,2308.0
18-09 22:30:50,1.210,0.202,98.387,0.202,0.0,0.0,0.0,20480.0,105.0,307.0,0.0,0.0,1028.0,2299.0
18-09 22:30:51,1.010,0.404,98.586,0.0,0.0,0.0,0.0,0.0,105.0,307.0,0.0,0.0,1053.0,2346.0
18-09 22:30:52,2.004,0.401,97.595,0.0,0.0,0.0,0.0,0.0,211.0,831.0,0.0,0.0,1050.0,2313.0
18-09 22:30:53,1.408,0.201,98.390,0.0,0.0,0.0,0.0,0.0,105.0,307.0,0.0,0.0,1067.0,2325.0
18-09 22:30:54,1.006,0.805,98.189,0.0,0.0,0.0,0.0,0.0,105.0,307.0,0.0,0.0,1067.0,2357.0
18-09 22:30:55,1.010,0.202,98.788,0.0,0.0,0.0,0.0,0.0,211.0,831.0,0.0,0.0,1017.0,2307.0
18-09 22:30:56,1.006,0.201,98.592,0.201,0.0,0.0,0.0,20480.0,105.0,307.0,0.0,0.0,967.0,2194.0
18-09 22:30:57,1.403,0.802,97.796,0.0,0.0,0.0,0.0,0.0,105.0,307.0,0.0,0.0,1035.0,2361.0
18-09 22:30:58,1.406,0.402,98.193,0.0,0.0,0.0,0.0,0.0,211.0,831.0,0.0,0.0,1050.0,2354.0
18-09 22:30:59,1.400,0.600,98.0,0.0,0.0,0.0,0.0,0.0,105.0,307.0,0.0,0.0,1044.0,2347.0
18-09 22:31:00,1.600,0.600,97.800,0.0,0.0,0.0,0.0,0.0,105.0,307.0,0.0,0.0,1055.0,2354.0
18-09 22:31:01,1.210,0.403,98.185,0.202,0.0,0.0,135168.0,0.0,211.0,831.0,0.0,0.0,1098.0,2467.0
18-09 22:31:02,1.202,0.802,97.595,0.401,0.0,0.0,0.0,16384.0,105.0,307.0,0.0,0.0,1082.0,2441.0
18-09 22:31:03,2.004,0.401,97.595,0.0,0.0,0.0,0.0,0.0,105.0,307.0,0.0,0.0,1104.0,2480.0
18-09 22:31:04,1.210,0.403,98.387,0.0,0.0,0.0,0.0,0.0,211.0,831.0,0.0,0.0,1056.0,2442.0
18-09 22:31:05,1.606,0.402,97.992,0.0,0.0,0.0,0.0,0.0,105.0,307.0,0.0,0.0,1090.0,2462.0
18-09 22:31:06,1.215,0.0,98.785,0.0,0.0,0.0,0.0,0.0,105.0,307.0,0.0,0.0,1088.0,2468.0
18-09 22:31:07,1.600,0.800,97.600,0.0,0.0,0.0,0.0,0.0,211.0,831.0,0.0,0.0,1081.0,2429.0
18-09 22:31:08,1.207,0.604,97.988,0.201,0.0,0.0,0.0,16384.0,105.0,307.0,0.0,0.0,1067.0,2425.0
18-09 22:31:09,1.606,0.602,97.791,0.0,0.0,0.0,0.0,45056.0,105.0,307.0,0.0,0.0,1142.0,2512.0
