"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","group-2-vm1",,,,"User:","ubuntu"
"Cmdline:","dstat -ta --noheaders --noupdate --output /home/ubuntu/dstat.csv",,,,"Date:","18 Sep 2015 22:30:35 UTC"

"system","total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",
"time","usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw"
18-09 22:30:35,3.703,0.588,94.836,0.843,0.0,0.030,1241276.740,1251358.603,0.0,0.0,0.0,0.0,366.089,603.905
18-09 22:30:36,2.621,1.815,95.565,0.0,0.0,0.0,0.0,0.0,9807.0,13261.0,0.0,0.0,1414.0,3073.0
18-09 22:30:37,8.266,3.629,80.040,7.863,0.0,0.202,118784.0,933888.0,3810.0,61516.0,0.0,0.0,2029.0,4209.0
18-09 22:30:38,1.826,7.099,64.097,26.978,0.0,0.0,5251072.0,0.0,4018.0,4275.0,0.0,0.0,2727.0,4431.0
18-09 22:30:39,2.020,1.616,90.707,5.657,0.0,0.0,1712128.0,0.0,5352.0,8544.0,0.0,0.0,1711.0,3454.0
18-09 22:30:40,2.811,1.606,95.382,0.201,0.0,0.0,24576.0,0.0,6335.0,7250.0,0.0,0.0,1525.0,3321.0
18-09 22:30:41,1.833,1.222,94.908,2.037,0.0,0.0,335872.0,4096.0,3519.0,4633.0,0.0,0.0,1625.0,3403.0
18-09 22:30:42,7.258,2.823,76.210,13.710,0.0,0.0,5402624.0,0.0,1029.0,1552.0,0.0,0.0,2612.0,4441.0
18-09 22:30:43,6.439,2.414,71.831,19.316,0.0,0.0,11747328.0,61440.0,2078.0,1803.0,0.0,0.0,2074.0,4236.0
18-09 22:30:44,15.895,3.219,66.801,14.085,0.0,0.0,6807552.0,0.0,1633.0,1777.0,0.0,0.0,2267.0,3957.0
18-09 22:30:45,29.376,3.622,52.113,14.889,0.0,0.0,6676480.0,32768.0,1029.0,2867.0,0.0,0.0,2632.0,4164.0
18-09 22:30:46,37.149,5.221,50.602,7.028,0.0,0.0,3772416.0,0.0,2078.0,1803.0,0.0,0.0,3173.0,4905.0
18-09 22:30:47,21.514,2.590,69.323,6.574,0.0,0.0,2142208.0,0.0,1553.0,1697.0,0.0,0.0,1728.0,3249.0
18-09 22:30:48,39.357,3.213,52.410,5.020,0.0,0.0,2314240.0,0.0,1029.0,1591.0,0.0,0.0,2116.0,3211.0
18-09 22:30:49,32.114,3.455,55.285,9.146,0.0,0.0,4599808.0,196608.0,2237.0,3115.0,0.0,0.0,2096.0,3400.0
18-09 22:30:50,37.126,2.395,54.691,5.788,0.0,0.0,5320704.0,0.0,1553.0,2279.0,0.0,0.0,2534.0,3848.0
18-09 22:30:51,35.271,2.204,58.317,4.208,0.0,0.0,1441792.0,126976.0,1029.0,2867.0,0.0,0.0,2148.0,3805.0
18-09 22:30:52,24.547,2.213,71.429,1.610,0.0,0.201,839680.0,0.0,2078.0,1803.0,0.0,0.0,2096.0,3626.0
18-09 22:30:53,25.806,1.815,68.750,3.427,0.0,0.202,2318336.0,0.0,1553.0,1697.0,0.0,0.0,2103.0,4345.0
18-09 22:30:54,16.667,2.033,75.203,6.098,0.0,0.0,4866048.0,0.0,1071.0,1633.0,0.0,0.0,1972.0,3888.0
18-09 22:30:55,17.470,2.008,75.904,4.618,0.0,0.0,3674112.0,8192.0,2078.0,3031.0,0.0,0.0,1862.0,3529.0
18-09 22:30:56,18.952,1.613,77.621,1.815,0.0,0.0,1429504.0,114688.0,1553.0,2295.0,0.0,0.0,1463.0,2881.0
18-09 22:30:57,16.734,3.427,74.194,5.645,0.0,0.0,3104768.0,0.0,1029.0,1591.0,0.0,0.0,1786.0,3483.0
18-09 22:30:58,18.876,2.008,74.900,4.217,0.0,0.0,4124672.0,4096.0,2078.0,1803.0,0.0,0.0,1869.0,3656.0
18-09 22:30:59,20.606,3.030,73.131,3.232,0.0,0.0,2301952.0,0.0,1553.0,2973.0,0.0,0.0,1940.0,3839.0
18-09 22:31:00,24.750,1.996,71.457,1.796,0.0,0.0,942080.0,12288.0,1029.0,1591.0,0.0,0.0,1938.0,3771.0
18-09 22:31:01,26.962,2.616,66.600,3.823,0.0,0.0,917504.0,634880.0,2078.0,1803.0,0.0,0.0,2108.0,3900.0
18-09 22:31:02,22.355,6.387,71.058,0.0,0.0,0.200,417792.0,0.0,1553.0,1697.0,0.0,0.0,2064.0,3962.0
18-09 22:31:03,18.563,9.182,71.657,0.599,0.0,0.0,3522560.0,0.0,1029.0,2221.0,0.0,0.0,1930.0,3962.0
18-09 22:31:04,26.547,6.188,67.066,0.200,0.0,0.0,3833856.0,0.0,2078.0,3063.0,0.0,0.0,2049.0,3588.0
18-09 22:31:05,50.202,2.419,47.379,0.0,0.0,0.0,0.0,0.0,1712.0,3057.0,0.0,0.0,2227.0,3445.0
