"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","group-2-vm4",,,,"User:","ubuntu"
"Cmdline:","dstat -ta --noheaders --noupdate --output /home/ubuntu/dstat.csv",,,,"Date:","18 Sep 2015 22:30:36 UTC"

"system","total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",
"time","usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw"
18-09 22:30:36,1.427,0.390,98.080,0.099,0.000,0.004,127523.581,225170.620,0.0,0.0,0.0,0.0,875.201,1921.608
18-09 22:30:37,1.811,0.201,97.988,0.0,0.0,0.0,2097152.0,0.0,105.0,307.0,0.0,0.0,1048.0,2279.0
18-09 22:30:38,1.417,0.405,98.178,0.0,0.0,0.0,0.0,0.0,105.0,307.0,0.0,0.0,1084.0,2265.0
18-09 22:30:39,1.420,0.203,98.377,0.0,0.0,0.0,2134016.0,0.0,211.0,831.0,0.0,0.0,1136.0,2321.0
18-09 22:30:40,6.827,2.410,90.562,0.201,0.0,0.0,24576.0,237568.0,5134.0,4184.0,0.0,0.0,1588.0,2817.0
18-09 22:30:41,1.188,5.149,87.525,6.139,0.0,0.0,5545984.0,315392.0,605.0,753.0,0.0,0.0,1400.0,2421.0
18-09 22:30:42,1.227,0.204,98.569,0.0,0.0,0.0,45056.0,0.0,211.0,831.0,0.0,0.0,920.0,1990.0
18-09 22:30:43,1.205,0.201,98.594,0.0,0.0,0.0,2162688.0,0.0,105.0,307.0,0.0,0.0,875.0,1983.0
18-09 22:30:44,1.600,0.400,98.0,0.0,0.0,0.0,0.0,0.0,105.0,307.0,0.0,0.0,876.0,1988.0
18-09 22:30:45,1.397,0.599,98.004,0.0,0.0,0.0,2097152.0,0.0,211.0,831.0,0.0,0.0,913.0,2065.0
18-09 22:30:46,2.794,0.599,96.407,0.200,0.0,0.0,0.0,20480.0,105.0,307.0,0.0,0.0,925.0,2119.0
18-09 22:30:47,1.804,0.401,97.796,0.0,0.0,0.0,2134016.0,0.0,105.0,307.0,0.0,0.0,935.0,2153.0
18-09 22:30:48,1.807,0.402,97.791,0.0,0.0,0.0,0.0,0.0,211.0,831.0,0.0,0.0,966.0,2226.0
18-09 22:30:49,1.800,0.800,97.400,0.0,0.0,0.0,2097152.0,0.0,105.0,307.0,0.0,0.0,970.0,2276.0
18-09 22:30:50,2.016,0.202,97.782,0.0,0.0,0.0,0.0,0.0,105.0,307.0,0.0,0.0,1009.0,2335.0
18-09 22:30:51,1.610,0.805,97.586,0.0,0.0,0.0,2097152.0,0.0,211.0,831.0,0.0,0.0,1054.0,2370.0
18-09 22:30:52,1.610,0.604,97.183,0.604,0.0,0.0,0.0,16384.0,105.0,307.0,0.0,0.0,1053.0,2319.0
18-09 22:30:53,2.395,0.798,96.806,0.0,0.0,0.0,2097152.0,0.0,105.0,307.0,0.0,0.0,1070.0,2326.0
18-09 22:30:54,3.006,0.401,96.593,0.0,0.0,0.0,0.0,0.0,211.0,831.0,0.0,0.0,1092.0,2344.0
18-09 22:30:55,1.603,1.002,97.395,0.0,0.0,0.0,2097152.0,0.0,105.0,307.0,0.0,0.0,1075.0,2312.0
