"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","group-2-vm4",,,,"User:","ubuntu"
"Cmdline:","dstat -ta --noheaders --noupdate --output /home/ubuntu/dstat.csv",,,,"Date:","18 Sep 2015 21:10:33 UTC"

"system","total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",
"time","usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw"
18-09 21:10:33,1.306,0.377,98.242,0.072,0.000,0.003,68306.429,175027.758,0.0,0.0,0.0,0.0,869.497,1915.008
18-09 21:10:34,1.811,0.201,97.988,0.0,0.0,0.0,2097152.0,0.0,105.0,317.0,0.0,0.0,975.0,2096.0
18-09 21:10:35,1.626,0.203,98.171,0.0,0.0,0.0,0.0,0.0,211.0,841.0,0.0,0.0,999.0,2117.0
18-09 21:10:36,1.822,0.202,97.976,0.0,0.0,0.0,2097152.0,4096.0,105.0,317.0,0.0,0.0,1025.0,2093.0
18-09 21:10:37,6.693,4.134,83.465,5.709,0.0,0.0,1466368.0,761856.0,5808.0,4838.0,0.0,0.0,1917.0,3370.0
18-09 21:10:38,1.656,0.621,96.273,1.449,0.0,0.0,4595712.0,0.0,277.0,907.0,0.0,0.0,1084.0,2078.0
18-09 21:10:39,2.209,0.602,97.189,0.0,0.0,0.0,0.0,0.0,105.0,317.0,0.0,0.0,1035.0,2121.0
18-09 21:10:40,2.008,0.803,97.189,0.0,0.0,0.0,2162688.0,0.0,105.0,317.0,0.0,0.0,1105.0,2175.0
18-09 21:10:41,3.366,0.792,95.842,0.0,0.0,0.0,0.0,0.0,211.0,841.0,0.0,0.0,1087.0,2251.0
18-09 21:10:42,3.194,0.399,96.407,0.0,0.0,0.0,2097152.0,16384.0,105.0,317.0,0.0,0.0,1122.0,2302.0
18-09 21:10:43,4.183,0.398,95.020,0.398,0.0,0.0,0.0,8192.0,105.0,317.0,0.0,0.0,1117.0,2332.0
18-09 21:10:44,2.405,0.601,96.994,0.0,0.0,0.0,2170880.0,0.0,211.0,841.0,0.0,0.0,1114.0,2347.0
18-09 21:10:45,2.033,0.407,97.561,0.0,0.0,0.0,0.0,0.0,105.0,317.0,0.0,0.0,1044.0,2319.0
18-09 21:10:46,1.815,0.202,97.984,0.0,0.0,0.0,2097152.0,0.0,105.0,317.0,0.0,0.0,1039.0,2308.0
18-09 21:10:47,2.213,0.402,97.384,0.0,0.0,0.0,0.0,0.0,211.0,841.0,0.0,0.0,1040.0,2352.0
18-09 21:10:48,1.818,0.202,97.374,0.606,0.0,0.0,2097152.0,20480.0,105.0,317.0,0.0,0.0,1036.0,2352.0
18-09 21:10:49,1.822,0.202,97.976,0.0,0.0,0.0,0.0,0.0,105.0,317.0,0.0,0.0,1052.0,2393.0
18-09 21:10:50,1.610,0.805,97.586,0.0,0.0,0.0,2097152.0,0.0,211.0,841.0,0.0,0.0,1065.0,2376.0
18-09 21:10:51,1.616,0.404,97.980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1014.0,2300.0
18-09 21:10:52,1.616,0.404,97.980,0.0,0.0,0.0,2097152.0,0.0,105.0,317.0,0.0,0.0,1013.0,2252.0
18-09 21:10:53,2.012,0.402,97.586,0.0,0.0,0.0,0.0,0.0,211.0,841.0,0.0,0.0,1070.0,2379.0
18-09 21:10:54,2.0,1.0,96.400,0.600,0.0,0.0,2097152.0,16384.0,105.0,317.0,0.0,0.0,1055.0,2345.0
18-09 21:10:55,2.600,0.600,96.800,0.0,0.0,0.0,0.0,0.0,105.0,317.0,0.0,0.0,1077.0,2376.0
18-09 21:10:56,3.0,0.200,96.800,0.0,0.0,0.0,2097152.0,0.0,253.0,841.0,0.0,0.0,1104.0,2395.0
18-09 21:10:57,2.218,0.202,97.581,0.0,0.0,0.0,0.0,0.0,105.0,317.0,0.0,0.0,1072.0,2372.0
18-09 21:10:58,2.414,0.201,97.384,0.0,0.0,0.0,626688.0,0.0,105.0,317.0,0.0,0.0,1094.0,2389.0
18-09 21:10:59,2.213,0.402,97.384,0.0,0.0,0.0,0.0,0.0,211.0,841.0,0.0,0.0,1102.0,2391.0
18-09 21:11:00,2.008,0.602,96.787,0.602,0.0,0.0,0.0,16384.0,105.0,317.0,0.0,0.0,1099.0,2403.0
18-09 21:11:01,2.016,0.605,93.952,3.427,0.0,0.0,4743168.0,0.0,105.0,317.0,0.0,0.0,1234.0,2433.0
18-09 21:11:02,1.815,0.403,97.581,0.0,0.0,0.202,0.0,0.0,211.0,841.0,0.0,0.0,1112.0,2438.0
