"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","group-2-vm1",,,,"User:","ubuntu"
"Cmdline:","dstat -ta --noheaders --noupdate --output /home/ubuntu/dstat.csv",,,,"Date:","18 Sep 2015 21:10:32 UTC"

"system","total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",
"time","usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw"
18-09 21:10:32,0.214,0.106,99.515,0.162,0.0,0.003,13207.097,219300.232,0.0,0.0,0.0,0.0,43.288,87.307
18-09 21:10:33,2.811,1.205,95.783,0.0,0.0,0.201,0.0,0.0,10415.0,12133.0,0.0,0.0,1423.0,3041.0
18-09 21:10:34,7.042,4.024,82.294,6.640,0.0,0.0,106496.0,1024000.0,2496.0,2555.0,0.0,0.0,1924.0,3848.0
18-09 21:10:35,2.227,2.834,72.672,22.267,0.0,0.0,5455872.0,118784.0,5156.0,6034.0,0.0,0.0,2573.0,4022.0
18-09 21:10:36,2.222,0.808,95.556,1.414,0.0,0.0,155648.0,0.0,6002.0,6796.0,0.0,0.0,1410.0,2907.0
18-09 21:10:37,2.419,1.210,94.758,1.613,0.0,0.0,1036288.0,0.0,6847.0,8160.0,0.0,0.0,1545.0,3237.0
18-09 21:10:38,4.032,2.419,84.879,8.669,0.0,0.0,3375104.0,0.0,2767.0,11439.0,0.0,0.0,2249.0,4006.0
18-09 21:10:39,6.640,1.811,74.447,16.901,0.0,0.201,9261056.0,0.0,3979.0,4455.0,0.0,0.0,2209.0,3869.0
18-09 21:10:40,6.250,2.016,69.153,22.581,0.0,0.0,8830976.0,65536.0,1992.0,5409.0,0.0,0.0,2219.0,4003.0
18-09 21:10:41,29.637,3.024,45.968,21.371,0.0,0.0,4943872.0,0.0,2081.0,1703.0,0.0,0.0,2788.0,4005.0
18-09 21:10:42,36.089,4.032,47.581,12.298,0.0,0.0,6385664.0,32768.0,1969.0,1535.0,0.0,0.0,3001.0,4750.0
18-09 21:10:43,38.259,4.656,47.571,9.514,0.0,0.0,5013504.0,0.0,2388.0,2071.0,0.0,0.0,2670.0,4232.0
18-09 21:10:44,34.146,3.049,58.943,3.862,0.0,0.0,1921024.0,0.0,2291.0,5265.0,0.0,0.0,2083.0,3542.0
18-09 21:10:45,40.319,2.794,48.104,8.782,0.0,0.0,3362816.0,196608.0,4806.0,5843.0,0.0,0.0,2206.0,3540.0
18-09 21:10:46,28.226,1.613,62.903,7.258,0.0,0.0,4820992.0,0.0,2110.0,2313.0,0.0,0.0,1872.0,3371.0
18-09 21:10:47,30.461,2.605,60.721,6.012,0.0,0.200,3088384.0,131072.0,1765.0,1265.0,0.0,0.0,2276.0,3772.0
18-09 21:10:48,33.063,1.420,64.300,1.217,0.0,0.0,487424.0,0.0,2033.0,1717.0,0.0,0.0,2015.0,3356.0
18-09 21:10:49,20.081,2.434,73.428,4.057,0.0,0.0,2072576.0,0.0,2034.0,2655.0,0.0,0.0,1826.0,3806.0
18-09 21:10:50,22.470,2.632,69.028,5.466,0.0,0.405,3579904.0,0.0,2473.0,10635.0,0.0,0.0,1954.0,3986.0
18-09 21:10:51,19.115,2.213,73.441,5.231,0.0,0.0,4091904.0,0.0,1873.0,631.0,0.0,0.0,1864.0,3520.0
18-09 21:10:52,16.901,1.006,78.068,4.024,0.0,0.0,2437120.0,8192.0,3766.0,9143.0,0.0,0.0,1518.0,3098.0
18-09 21:10:53,15.758,1.616,78.182,4.444,0.0,0.0,2908160.0,122880.0,1583.0,1990.0,0.0,0.0,1593.0,3208.0
18-09 21:10:54,18.145,3.024,73.589,5.242,0.0,0.0,3092480.0,4096.0,1529.0,1067.0,0.0,0.0,1836.0,3579.0
18-09 21:10:55,17.004,3.036,74.696,5.263,0.0,0.0,4038656.0,0.0,1680.0,1266.0,0.0,0.0,1970.0,3658.0
18-09 21:10:56,21.486,1.807,74.699,1.807,0.0,0.201,1069056.0,12288.0,1721.0,1307.0,0.0,0.0,1797.0,3707.0
18-09 21:10:57,27.419,1.815,68.347,2.419,0.0,0.0,1118208.0,626688.0,1571.0,1133.0,0.0,0.0,1862.0,3562.0
18-09 21:10:58,25.301,3.414,71.084,0.201,0.0,0.0,241664.0,24576.0,1638.0,1725.0,0.0,0.0,2104.0,3916.0
18-09 21:10:59,18.016,7.490,73.684,0.810,0.0,0.0,1196032.0,0.0,3885.0,4965.0,0.0,0.0,2272.0,4144.0
18-09 21:11:00,16.532,9.476,73.589,0.403,0.0,0.0,4341760.0,0.0,1529.0,1028.0,0.0,0.0,2153.0,4073.0
18-09 21:11:01,24.600,6.800,67.400,1.0,0.0,0.200,3526656.0,0.0,1680.0,1306.0,0.0,0.0,2149.0,3865.0
18-09 21:11:02,49.796,3.061,47.143,0.0,0.0,0.0,4096.0,0.0,1924.0,1367.0,0.0,0.0,2178.0,3433.0
18-09 21:11:03,30.444,3.226,62.702,3.629,0.0,0.0,0.0,5718016.0,1637.0,1513.0,0.0,0.0,1540.0,2976.0
18-09 21:11:04,23.062,2.584,74.354,0.0,0.0,0.0,0.0,110592.0,1734.0,1407.0,0.0,0.0,2064.0,3798.0
18-09 21:11:05,12.375,1.796,84.431,1.397,0.0,0.0,327680.0,0.0,139133.0,5708.0,0.0,0.0,1547.0,3415.0
18-09 21:11:06,33.600,1.800,64.0,0.0,0.0,0.600,20480.0,0.0,18334177.0,45738.0,0.0,0.0,5505.0,3238.0
18-09 21:11:07,26.0,9.600,64.400,0.0,0.0,0.0,4096.0,0.0,1638.0,2061.0,0.0,0.0,1856.0,3541.0
18-09 21:11:08,13.469,2.041,77.755,6.735,0.0,0.0,331776.0,3497984.0,1907.0,2322.0,0.0,0.0,1554.0,3442.0
18-09 21:11:09,14.170,2.632,79.555,3.441,0.0,0.202,126976.0,3624960.0,1679.0,1267.0,0.0,0.0,1835.0,4550.0
18-09 21:11:10,17.039,1.826,74.645,6.491,0.0,0.0,2527232.0,40960.0,1530.0,1066.0,0.0,0.0,1750.0,3885.0
18-09 21:11:11,32.329,2.610,61.446,3.614,0.0,0.0,2011136.0,4096.0,7504.0,638545.0,0.0,0.0,2288.0,4191.0
18-09 21:11:12,20.040,4.049,73.482,2.429,0.0,0.0,356352.0,1056768.0,6352.0,410728.0,0.0,0.0,2694.0,5811.0
18-09 21:11:13,16.129,1.613,80.242,2.016,0.0,0.0,278528.0,192512.0,4440.0,15074.0,0.0,0.0,1961.0,4361.0
18-09 21:11:14,35.366,2.439,54.675,7.114,0.0,0.407,1769472.0,20615168.0,67783.0,20960083.0,0.0,0.0,3852.0,5610.0
18-09 21:11:15,30.533,2.254,64.549,2.664,0.0,0.0,1335296.0,237568.0,2233.0,4857.0,0.0,0.0,2473.0,4514.0
18-09 21:11:16,21.932,3.018,61.569,13.280,0.0,0.201,6156288.0,155648.0,3409.0,2372.0,0.0,0.0,3121.0,5563.0
18-09 21:11:17,3.823,1.408,92.757,2.012,0.0,0.0,294912.0,36864.0,3336.0,3933.0,0.0,0.0,1508.0,3511.0
18-09 21:11:18,4.0,1.600,94.400,0.0,0.0,0.0,0.0,0.0,11208.0,215493.0,0.0,0.0,1675.0,3620.0
18-09 21:11:19,2.405,1.403,95.992,0.0,0.0,0.200,0.0,0.0,1717.0,1162.0,0.0,0.0,1412.0,3331.0
18-09 21:11:20,3.012,1.205,95.783,0.0,0.0,0.0,0.0,315392.0,1732.0,1913.0,0.0,0.0,1548.0,3513.0
18-09 21:11:21,2.222,1.212,96.566,0.0,0.0,0.0,0.0,0.0,1566.0,1067.0,0.0,0.0,1626.0,3440.0
18-09 21:11:22,3.0,1.400,95.0,0.600,0.0,0.0,0.0,57344.0,1783.0,1372.0,0.0,0.0,1683.0,3636.0
18-09 21:11:23,2.400,1.200,96.400,0.0,0.0,0.0,0.0,0.0,2067.0,1381.0,0.0,0.0,1646.0,3560.0
18-09 21:11:24,2.410,1.205,96.386,0.0,0.0,0.0,0.0,0.0,3641.0,2310.0,0.0,0.0,1546.0,3448.0
