"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","group-2-vm3",,,,"User:","ubuntu"
"Cmdline:","dstat -ta --noheaders --noupdate --output /home/ubuntu/dstat.csv",,,,"Date:","18 Sep 2015 21:10:32 UTC"

"system","total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",
"time","usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw"
18-09 21:10:32,1.230,0.368,98.313,0.085,0.000,0.003,70406.953,161060.526,0.0,0.0,0.0,0.0,883.473,1955.435
18-09 21:10:33,2.0,0.600,96.800,0.600,0.0,0.0,1069056.0,0.0,211.0,842.0,0.0,0.0,1000.0,2152.0
18-09 21:10:34,2.008,0.602,96.185,1.205,0.0,0.0,1597440.0,0.0,105.0,317.0,0.0,0.0,1028.0,2149.0
18-09 21:10:35,5.242,2.218,91.331,1.008,0.0,0.202,786432.0,4096.0,4966.0,3944.0,0.0,0.0,1447.0,2771.0
18-09 21:10:36,3.175,1.587,85.913,9.325,0.0,0.0,5570560.0,823296.0,1047.0,1736.0,0.0,0.0,1608.0,2858.0
18-09 21:10:37,1.649,0.206,98.144,0.0,0.0,0.0,1097728.0,0.0,105.0,317.0,0.0,0.0,1042.0,2163.0
18-09 21:10:38,1.996,0.798,97.206,0.0,0.0,0.0,958464.0,0.0,105.0,317.0,0.0,0.0,1037.0,2210.0
18-09 21:10:39,2.213,0.201,96.177,1.408,0.0,0.0,1699840.0,0.0,211.0,842.0,0.0,0.0,1137.0,2288.0
18-09 21:10:40,2.012,0.402,96.982,0.604,0.0,0.0,282624.0,0.0,105.0,317.0,0.0,0.0,1126.0,2382.0
18-09 21:10:41,2.213,0.201,95.976,1.610,0.0,0.0,1208320.0,0.0,105.0,317.0,0.0,0.0,1077.0,2323.0
18-09 21:10:42,1.996,0.998,95.609,1.397,0.0,0.0,4714496.0,57344.0,211.0,842.0,0.0,0.0,1242.0,2534.0
18-09 21:10:43,3.012,0.402,96.586,0.0,0.0,0.0,0.0,0.0,105.0,317.0,0.0,0.0,1095.0,2309.0
18-09 21:10:44,2.209,0.402,97.390,0.0,0.0,0.0,1568768.0,0.0,105.0,317.0,0.0,0.0,1088.0,2447.0
18-09 21:10:45,2.012,0.201,97.787,0.0,0.0,0.0,0.0,0.0,211.0,842.0,0.0,0.0,1123.0,2488.0
18-09 21:10:46,2.012,0.201,97.787,0.0,0.0,0.0,0.0,0.0,105.0,317.0,0.0,0.0,1076.0,2459.0
18-09 21:10:47,2.012,0.201,96.378,1.408,0.0,0.0,0.0,45056.0,105.0,317.0,0.0,0.0,1078.0,2479.0
18-09 21:10:48,2.012,0.201,95.775,2.012,0.0,0.0,536576.0,0.0,211.0,842.0,0.0,0.0,1170.0,2594.0
18-09 21:10:49,1.207,0.402,98.390,0.0,0.0,0.0,0.0,0.0,105.0,317.0,0.0,0.0,1027.0,2348.0
18-09 21:10:50,1.603,0.601,97.796,0.0,0.0,0.0,0.0,0.0,105.0,317.0,0.0,0.0,1073.0,2500.0
18-09 21:10:51,1.807,0.402,97.791,0.0,0.0,0.0,0.0,0.0,211.0,842.0,0.0,0.0,1104.0,2517.0
18-09 21:10:52,1.210,0.403,98.387,0.0,0.0,0.0,0.0,0.0,105.0,317.0,0.0,0.0,1065.0,2468.0
18-09 21:10:53,1.403,0.601,97.595,0.200,0.0,0.200,0.0,73728.0,105.0,317.0,0.0,0.0,1058.0,2481.0
18-09 21:10:54,1.807,0.402,97.791,0.0,0.0,0.0,0.0,0.0,211.0,842.0,0.0,0.0,1067.0,2496.0
18-09 21:10:55,1.012,0.0,98.988,0.0,0.0,0.0,0.0,0.0,147.0,317.0,0.0,0.0,1048.0,2442.0
18-09 21:10:56,1.411,0.403,98.185,0.0,0.0,0.0,0.0,0.0,105.0,317.0,0.0,0.0,1085.0,2499.0
18-09 21:10:57,1.004,0.402,98.594,0.0,0.0,0.0,0.0,0.0,211.0,842.0,0.0,0.0,1017.0,2322.0
18-09 21:10:58,1.212,0.404,98.384,0.0,0.0,0.0,0.0,0.0,105.0,317.0,0.0,0.0,1082.0,2499.0
18-09 21:10:59,1.406,0.402,97.390,0.803,0.0,0.0,0.0,16384.0,105.0,317.0,0.0,0.0,1072.0,2494.0
18-09 21:11:00,0.610,0.203,99.187,0.0,0.0,0.0,0.0,0.0,211.0,842.0,0.0,0.0,1068.0,2532.0
18-09 21:11:01,1.603,0.601,97.395,0.401,0.0,0.0,126976.0,0.0,105.0,317.0,0.0,0.0,1098.0,2516.0
18-09 21:11:02,1.807,0.201,97.992,0.0,0.0,0.0,8192.0,0.0,105.0,317.0,0.0,0.0,1059.0,2493.0
18-09 21:11:03,1.411,0.403,98.185,0.0,0.0,0.0,0.0,0.0,211.0,842.0,0.0,0.0,1099.0,2506.0
18-09 21:11:04,1.411,0.403,98.185,0.0,0.0,0.0,0.0,0.0,105.0,317.0,0.0,0.0,1089.0,2488.0
18-09 21:11:05,2.191,0.797,96.813,0.199,0.0,0.0,0.0,16384.0,105.0,317.0,0.0,0.0,1103.0,2503.0
18-09 21:11:06,1.408,0.604,97.988,0.0,0.0,0.0,0.0,53248.0,211.0,842.0,0.0,0.0,1113.0,2536.0
18-09 21:11:07,1.207,0.402,98.390,0.0,0.0,0.0,0.0,0.0,105.0,317.0,0.0,0.0,1077.0,2369.0
